Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date,Year,Month,Day,DayOfWeek,Quarter,IsMonthEnd,IsMonthStart,Daily_Price_Range,Price_Change_Pct,Volatility,Log_Volume,Volume_Change,Log_Value,Avg_Trade_Size,Price_Momentum_3d,Volume_Momentum_3d,Price_Volume_Trend,Bid_Ask_Spread,Bid_Ask_Spread_Pct,Price_Lag_1d,Volume_Lag_1d,Value_Lag_1d,Volatility_Lag_1d,Price_Lag_3d,Volume_Lag_3d,Value_Lag_3d,Volatility_Lag_3d,Price_Lag_5d,Volume_Lag_5d,Value_Lag_5d,Volatility_Lag_5d,Price_Lag_10d,Volume_Lag_10d,Value_Lag_10d,Volatility_Lag_10d,Price_MA_3d,Volume_MA_3d,Price_MA_5d,Volume_MA_5d,Price_MA_10d,Volume_MA_10d,Price_Momentum_1d,Volume_Momentum_1d,Future_Price,Future_Return,Target,Target_Class,Share_Code_Encoded
2024-12-05,MTNGH,2.43,1.39,2.4,2.4,2.4,2.4,0.0,2.39,2.4,250.0,802.5,2025-08-23 18:33:27,2024,12,5,3,4,0,0,0.0,0.0,0.0,5.5254529391317835,0,6.688977185177567,3.21,0,0,600.0,0.009999999999999787,0.41841004184099523,2.4,250.0,802.5,0.8403361344537823,2.37,250.0,802.5,0.0,2.37,250.0,802.5,0.0,2.35,250.0,802.5,0.0,2.393333333333333,250.0,2.3839999999999995,250.0,2.374,250.0,0.0,0.0,2.37,-1.249999999999992,0,3,32
2024-10-24,GLD,432.0,218.5,432.0,432.0,428.5,428.6,3.4,426.0,0.0,234.0,802.5,2025-08-23 18:33:27,2024,10,24,3,4,0,0,-3.3999999999999773,0.787037037037037,-0.7870370370370318,5.459585514144159,0,6.688977185177567,3.4294871794871793,0,0,100292.40000000001,-426.0,-100.0,432.0,250.0,802.5,1.3537292072355258,426.0,250.0,802.5,0.5167409924258507,421.47,250.0,802.5,6.431818181818189,399.0,0.0,0.0,0.0,428.9433333333334,244.66666666666666,427.328,246.8,414.21099999999996,174.2,-0.7870370370370318,-6.4,427.96,-0.1493233784414473,0,3,26
2024-10-07,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2024,10,7,0,4,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0,3,34
2024-09-11,SIC,0.25,0.24,0.25,0.25,0.25,0.25,0.0,0.0,0.25,250.0,802.5,2025-08-23 18:33:27,2024,9,11,2,3,0,0,0.0,0.0,0.0,5.5254529391317835,0,6.688977185177567,3.21,0,0,62.5,0.25,0.0,0.25,250.0,802.5,0.0,0.25,55.0,13.75,0.0,0.25,250.0,802.5,0.0,0.25,250.0,275.0,0.0,0.25,250.0,0.25,163.6,0.25,182.5,0.0,0.0,0.25,0.0,0,3,40
2025-04-17,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27,2025,4,17,3,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.41,0.0,0.41,0.0,0.41,25.0,0.0,0.0,0.41,0.0,0,3,2
2024-12-11,AGA,37.0,37.0,37.0,37.0,37.0,37.0,0.0,37.0,0.0,0.0,0.0,2025-08-23 18:33:27,2024,12,11,2,4,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-37.0,-100.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,0.0,0.0,37.0,0.0,0,3,7
2025-02-24,TBL,0.83,0.83,0.83,0.83,0.83,0.83,0.0,0.83,0.0,0.0,0.0,2025-08-23 18:33:27,2025,2,24,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,-0.83,-100.0,0.83,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0.83,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0,3,42
2024-08-09,GGBL,4.7,3.4,4.7,4.7,4.7,4.7,0.0,0.0,4.7,0.0,0.0,2025-08-23 18:33:27,2024,8,9,4,3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,4.7,0.0,4.7,1.0,4.7,0.0,4.7,250.0,802.5,0.0,4.7,250.0,802.5,0.0,1.5,0.0,0.0,0.0,4.7,0.3333333333333333,4.7,100.2,4.7,107.28571428571429,0.0,-100.0,5.16,9.787234042553191,1,3,25
2025-04-29,ETI,0.88,0.31,0.88,0.88,0.88,0.88,0.0,0.88,0.9,250.0,802.5,2025-08-23 18:33:27,2025,4,29,1,2,0,0,0.0,0.0,0.0,5.5254529391317835,0,6.688977185177567,3.21,0,0,220.0,0.020000000000000018,2.2727272727272747,0.88,250.0,802.5,1.1494252873563229,0.87,250.0,802.5,0.0,0.87,250.0,802.5,0.0,0.85,250.0,802.5,0.0,0.8766666666666666,250.0,0.874,250.0,0.868,250.0,0.0,0.0,0.88,0.0,0,3,22
2025-05-08,MTNGH,3.3,2.5,3.29,3.29,3.3,3.3,0.01,3.29,3.53,250.0,802.5,2025-08-23 18:33:27,2025,5,8,3,2,0,0,0.009999999999999787,0.303951367781155,0.30395136778114856,5.5254529391317835,0,6.688977185177567,3.21,0,0,825.0,0.23999999999999977,7.294832826747713,3.29,250.0,802.5,2.492211838006233,3.19,250.0,802.5,2.2435897435897383,3.02,250.0,802.5,0.6666666666666672,3.0,250.0,802.5,0.0,3.266666666666667,250.0,3.222,250.0,3.113,250.0,0.30395136778114856,0.0,3.3,0.0,0,3,32
